# nhpx, l , b
302, 176.8238, -48.6473
303, 176.8252, -48.6329
304, 176.8917, -48.6143
305, 176.8931, -48.5999
306, 176.8700, -48.6157
307, 176.8714, -48.6013
308, 176.8945, -48.5855
309, 176.8959, -48.5711
310, 176.8728, -48.5870
311, 176.8742, -48.5726
312, 176.8483, -48.6171
313, 176.8497, -48.6028
314, 176.8267, -48.6186
315, 176.8281, -48.6042
316, 176.8511, -48.5884
317, 176.8525, -48.5740
318, 176.8295, -48.5898
319, 176.8309, -48.5754
320, 176.9839, -48.5510
321, 176.9853, -48.5366
322, 176.9623, -48.5524
323, 176.9636, -48.5381
324, 176.9866, -48.5222
325, 176.9880, -48.5079
326, 176.9650, -48.5237
327, 176.9663, -48.5093
328, 176.9406, -48.5539
329, 176.9420, -48.5395
330, 176.9189, -48.5553
331, 176.9203, -48.5409
332, 176.9433, -48.5251
333, 176.9447, -48.5107
334, 176.9217, -48.5266
335, 176.9231, -48.5122
336, 176.9893, -48.4935
337, 176.9907, -48.4791
338, 176.9677, -48.4949
339, 176.9691, -48.4805
340, 176.9921, -48.4647
341, 176.9934, -48.4503
342, 176.9704, -48.4662
343, 176.9718, -48.4518
344, 176.9461, -48.4964
345, 176.9474, -48.4820
346, 176.9244, -48.4978
347, 176.9258, -48.4834
348, 176.9488, -48.4676
349, 176.9502, -48.4532
350, 176.9272, -48.4690
351, 176.9286, -48.4547
352, 176.8973, -48.5568
353, 176.8987, -48.5424
354, 176.8756, -48.5582
355, 176.8770, -48.5438
356, 176.9000, -48.5280
357, 176.9014, -48.5136
358, 176.8784, -48.5294
359, 176.8798, -48.5150
360, 176.8539, -48.5596
361, 176.8553, -48.5452
362, 176.8323, -48.5610
363, 176.8337, -48.5467
364, 176.8567, -48.5309
365, 176.8581, -48.5165
366, 176.8351, -48.5323
367, 176.8365, -48.5179
368, 176.9028, -48.4992
369, 176.9042, -48.4849
370, 176.8812, -48.5007
371, 176.8825, -48.4863
372, 176.9056, -48.4705
373, 176.9069, -48.4561
374, 176.8839, -48.4719
375, 176.8853, -48.4575
376, 176.8595, -48.5021
377, 176.8609, -48.4877
378, 176.8379, -48.5035
379, 176.8393, -48.4891
380, 176.8623, -48.4733
381, 176.8637, -48.4590
382, 176.8407, -48.4748
383, 176.8421, -48.4604
384, 176.7993, -48.6775
385, 176.8007, -48.6631
